user_id,has_used_send_money,has_used_bill_pay,has_used_savings,has_used_groups,has_used_qr_pay,has_used_ussd,has_used_cashback,session_count_30d,avg_session_duration_min,channel_diversity,features_used_count,onboarding_stage,days_since_first_use,tx_count_30d,adoption_tier
USR_00000,1,1,1,0,0,1,0,22,7.84,3,4,4,423,12,Power
USR_00001,1,0,0,0,1,1,1,17,5.12,3,4,4,297,13,Power
USR_00002,1,1,0,0,1,0,0,11,4.28,2,3,3,343,7,Active
USR_00003,0,0,0,0,0,1,0,7,3.18,2,1,2,171,6,Basic
USR_00004,1,0,0,0,0,1,0,8,5.75,2,2,3,209,6,Active
USR_00005,0,1,1,1,0,0,0,20,6.25,2,3,4,118,12,Power
USR_00006,0,0,0,1,0,0,0,9,4.24,1,1,2,132,7,Basic
USR_00007,1,0,1,0,1,0,1,19,6.09,2,4,4,236,17,Power
USR_00008,0,0,0,1,1,0,0,12,2.7,1,2,3,239,7,Active
USR_00009,1,0,0,1,1,0,1,18,4.93,2,4,4,124,11,Power
USR_00010,0,0,0,1,1,0,0,17,4.19,1,2,3,92,10,Active
USR_00011,1,1,1,0,1,0,0,11,2.98,2,4,3,266,9,Active
USR_00012,1,0,0,0,1,0,1,11,2.49,2,3,3,137,8,Active
USR_00013,0,0,1,0,0,0,0,17,9.22,1,1,4,214,12,Power
USR_00014,0,0,1,1,1,1,0,28,9.58,3,4,4,452,18,Champion
USR_00015,0,0,0,0,0,0,0,7,1.69,1,0,2,63,6,Basic
USR_00016,0,0,0,0,1,0,0,2,0.65,1,1,2,474,1,Dormant
USR_00017,1,1,0,1,0,1,0,22,6.18,3,4,4,243,18,Champion
USR_00018,0,1,0,1,0,0,0,12,5.01,1,2,3,40,9,Active
USR_00019,1,0,0,0,0,0,1,9,3.37,1,2,3,34,6,Active
USR_00020,1,1,0,0,0,0,0,16,8.39,1,2,4,113,10,Power
USR_00021,0,0,0,0,0,0,0,6,1.79,1,0,2,485,3,Basic
USR_00022,0,0,1,0,0,1,1,18,4.91,3,3,4,311,11,Power
USR_00023,0,0,1,0,0,1,0,14,5.09,2,2,3,172,10,Active
USR_00024,0,1,1,0,1,1,1,24,7.4,3,5,4,342,16,Champion
USR_00025,0,0,0,0,0,0,1,10,2.47,1,1,3,265,10,Active
USR_00026,0,1,0,0,1,1,0,21,6.28,3,3,4,189,14,Power
USR_00027,0,0,0,0,0,0,0,3,3.69,1,0,2,205,0,Dormant
USR_00028,1,0,1,0,0,0,0,24,10.68,1,2,4,272,14,Power
USR_00029,1,0,1,0,0,0,0,12,10.35,1,2,3,18,9,Active
USR_00030,1,0,1,0,1,1,0,25,6.49,3,4,4,286,18,Champion
USR_00031,0,0,1,0,0,0,0,7,1.72,1,1,2,475,3,Basic
USR_00032,0,0,0,0,0,1,1,16,6.38,2,2,3,217,11,Power
USR_00033,0,1,0,0,0,0,1,15,4.12,1,2,3,118,8,Active
USR_00034,0,1,0,0,1,1,0,17,6.98,3,3,3,107,9,Power
USR_00035,0,0,1,0,1,0,1,17,7.23,2,3,3,373,11,Power
USR_00036,1,1,0,0,1,0,0,16,5.88,2,3,4,375,12,Power
USR_00037,1,1,0,0,0,0,0,14,4.61,1,2,3,453,10,Active
USR_00038,0,0,0,0,0,0,0,11,2.41,1,0,3,451,5,Basic
USR_00039,1,0,0,1,0,0,1,15,4.9,2,3,3,479,11,Active
USR_00040,0,1,0,0,1,0,0,15,5.16,1,2,3,337,11,Active
USR_00041,1,0,0,1,1,1,1,15,6.25,3,5,4,160,11,Power
USR_00042,1,1,1,0,0,0,1,8,2.23,2,4,3,113,9,Active
USR_00043,1,0,0,0,0,0,0,10,6.18,1,1,3,39,8,Active
USR_00044,1,0,0,0,0,0,0,8,1.88,1,1,2,432,6,Basic
USR_00045,0,0,1,0,0,0,0,6,3.29,1,1,2,350,5,Basic
USR_00046,1,1,1,1,0,0,0,11,3.62,2,4,3,101,10,Active
USR_00047,1,1,0,0,0,0,1,18,4.86,2,3,4,234,15,Power
USR_00048,0,1,1,1,1,0,0,25,5.65,2,4,4,81,17,Power
USR_00049,1,0,1,1,1,0,0,16,5.72,2,4,3,458,9,Power
USR_00050,1,0,0,0,0,0,1,23,7.68,1,2,4,349,14,Power
USR_00051,0,1,0,0,1,0,1,12,5.15,2,3,3,210,10,Active
USR_00052,1,1,0,0,1,1,0,9,2.7,3,4,3,131,10,Active
USR_00053,1,0,0,0,0,0,0,13,6.78,1,1,3,195,9,Active
