region_encoded,day_of_week,day_of_month,is_payday_week,agent_count_in_region,active_beneficiaries_in_region,avg_historical_daily_demand,seasonal_index,recent_7d_avg_demand,pending_voucher_value_in_region,daily_demand_nad
8,5,26,0,6,492,8780.62,0.9108,8018.74,20469.31,10287.42
8,1,22,0,12,508,7635.48,0.854,7093.0,23978.12,500.0
3,2,21,0,9,487,3991.74,0.9082,4347.21,21994.39,2649.87
0,4,30,0,7,487,12148.39,1.0135,12512.97,18255.31,7102.52
13,4,6,0,7,506,10903.09,1.0931,10966.62,14110.41,11943.77
2,5,4,1,8,542,9776.19,1.1311,9660.62,10203.96,16575.72
1,4,22,0,8,464,11675.58,0.9021,9414.23,16133.12,8253.02
10,4,3,1,4,484,5680.1,1.1205,6276.15,22091.51,8432.11
4,2,14,0,4,477,15190.52,1.0442,13653.63,42449.38,8502.14
0,1,9,0,2,486,7232.3,1.1302,6252.53,43837.55,3971.58
8,2,28,0,7,526,7731.72,0.9932,7316.62,40536.39,7658.67
9,5,10,0,6,558,6929.05,1.0753,6554.46,11478.99,8143.79
4,0,20,0,12,502,4585.92,0.8861,4447.63,51189.22,5240.14
10,0,20,0,11,506,14216.11,0.9102,13718.72,55790.46,9262.61
5,3,11,0,6,510,13754.37,1.0173,12253.22,9669.18,6521.01
3,1,23,0,10,550,5646.26,0.9345,5876.79,23836.13,5724.02
2,0,5,1,10,482,12470.49,1.1891,13169.55,7893.68,16191.02
7,4,27,0,6,515,10972.82,0.9747,9907.89,25306.45,3551.43
12,3,24,0,9,525,6847.56,0.8977,7765.72,42820.58,5479.94
1,6,4,1,5,498,8233.42,1.1277,7307.61,90413.19,13696.43
5,5,3,1,10,508,7115.77,1.0308,7108.33,11291.85,12168.14
0,5,30,0,9,461,11899.28,0.9962,10988.86,11450.79,10093.11
4,5,5,1,8,485,18475.37,1.1033,16739.92,60695.41,27926.77
0,1,2,1,10,525,20358.6,1.0487,21571.95,8789.67,26693.87
8,4,22,0,5,500,3952.72,0.7866,4012.62,18519.02,4237.35
13,0,9,0,6,451,7487.41,1.0235,7259.05,81881.95,6211.72
12,6,13,0,7,509,7562.78,1.0225,8404.64,29539.0,5253.9
7,5,27,0,11,518,5030.27,0.9023,5343.52,25504.08,1846.32
8,6,23,0,10,492,8321.42,0.8316,8638.74,10538.45,8717.01
7,3,7,0,7,468,7707.4,1.099,8415.8,6468.54,7638.76
4,4,2,1,13,488,5713.07,1.0469,4801.88,16918.98,6246.36
2,3,30,0,10,504,7394.8,0.9937,6697.11,63175.82,2686.23
3,3,9,0,2,486,6366.3,1.1359,5745.96,28911.2,13237.64
12,1,25,0,9,509,5350.06,0.8144,4545.19,29626.77,2120.51
13,0,23,0,9,497,12105.3,0.9304,9937.87,31146.65,1156.58
10,6,29,0,6,490,11460.51,0.9919,10745.64,20128.2,3520.8
6,1,21,0,12,472,4416.4,0.7748,4596.34,18181.04,5594.08
3,6,18,0,6,513,10976.24,0.9486,9163.3,90012.22,10526.06
6,0,5,1,6,498,4725.35,1.0451,4242.23,35597.73,12711.21
10,2,9,0,6,466,11265.14,1.0826,12822.67,9386.49,10481.14
12,5,1,1,12,505,12863.71,1.0896,12867.91,34448.0,14968.44
13,6,21,0,5,487,6208.76,0.8245,7005.82,42979.33,2156.67
0,5,2,1,10,500,17581.64,1.0804,15146.74,39874.12,25016.47
6,6,24,0,7,537,8244.01,0.8784,9841.37,7022.72,2354.2
1,5,15,0,9,487,7181.29,0.9657,7345.48,83163.39,8103.64
0,0,26,0,11,504,3745.71,0.9155,3298.58,38870.19,5003.19
0,1,28,0,6,502,22973.18,0.8991,19156.22,7100.6,8382.11
10,6,21,0,10,516,14784.11,0.8508,11833.23,201621.23,10381.89
3,4,22,0,10,496,5271.61,0.9163,5655.46,12341.29,6822.37
0,1,11,0,10,517,7470.41,1.1133,8611.59,11721.89,1886.32
12,2,19,0,6,476,10522.96,0.9407,11857.07,37895.51,595.72
4,3,25,0,8,528,29254.51,0.8407,33993.65,49635.72,13643.66
7,5,23,0,10,472,6791.34,0.8905,5533.04,22650.66,1993.48
5,6,28,0,9,436,8591.25,0.9131,8836.95,13837.56,6263.34
4,5,1,1,7,495,17421.92,1.0536,16189.11,19605.62,25095.37
5,4,17,0,10,540,7629.94,0.9336,7869.86,31554.81,8498.52
1,1,6,0,11,533,9520.9,1.1089,11329.48,14492.56,5242.7
2,3,9,0,9,464,5042.41,1.1325,5270.56,80548.51,11245.55
0,2,17,0,5,538,29794.94,0.9474,34047.46,21362.58,16668.84
8,4,19,0,8,513,6135.46,0.9496,6680.66,11814.75,1952.26
4,1,28,0,12,498,3888.71,0.9784,3421.51,10508.24,4694.72
4,0,19,0,6,513,8745.95,0.8918,8633.81,24865.31,4048.17
2,1,11,0,9,513,17845.19,1.0934,16156.92,191360.9,11206.87
13,5,6,0,9,491,9352.61,1.1506,9536.58,29719.26,5920.36
12,4,4,1,9,513,5471.51,1.0203,6214.6,48788.57,6354.13
3,2,23,0,7,535,8561.24,0.9026,7759.76,5000.0,3800.86
0,4,18,0,10,474,14385.31,0.9452,12864.37,41681.32,2640.55
12,6,8,0,15,481,15324.91,1.1253,15416.3,19603.38,11080.87
7,4,29,0,8,472,6072.04,1.0097,6319.44,9787.09,4814.53
3,4,16,0,13,520,9330.09,1.0238,7673.48,16546.1,7009.48
11,2,10,0,7,470,4520.33,1.0263,3974.55,26418.44,500.0
0,3,18,0,5,482,8166.62,0.9089,8228.75,49059.5,7830.88
2,6,21,0,14,532,4809.75,0.9394,5387.54,12812.83,1063.12
4,3,4,1,7,481,16260.45,1.0832,18872.83,6208.55,23412.13
5,4,22,0,11,481,17710.89,0.9665,19315.47,26562.72,15534.02
1,6,11,0,10,484,10474.31,1.1203,11903.39,22482.93,5418.44
0,0,17,0,7,488,4696.86,0.9804,5428.38,7325.95,4718.2
0,0,29,0,8,521,7772.99,1.009,7863.95,24378.01,5095.11
0,5,21,0,16,490,7173.49,0.9488,8272.85,219314.7,500.0
9,4,14,0,6,481,8755.41,1.0077,9413.41,37562.46,7819.32
5,0,12,0,7,515,4696.88,0.9674,4943.49,7196.24,4852.54
7,2,16,0,9,513,3468.96,0.9454,3891.62,25429.43,500.0
3,6,28,0,9,497,10692.93,1.0099,10811.31,17980.66,5213.44
0,4,6,0,11,513,5036.2,1.0891,5443.41,15894.01,4951.46
10,1,19,0,12,520,6750.47,0.9687,7396.87,45282.18,9680.35
3,3,8,0,14,488,7527.1,1.0995,7476.87,10527.99,500.0
12,6,3,1,11,504,8715.03,1.0953,10305.32,28482.71,11689.48
6,1,4,1,8,520,8168.69,1.0509,9582.53,15870.96,14232.78
5,4,28,0,11,480,6377.34,0.9568,6929.65,77237.23,7780.28
9,4,17,0,8,536,9421.05,1.0228,10968.87,7260.16,3577.51
3,1,15,0,6,508,8161.21,1.0865,9328.68,107493.72,8484.51
2,0,1,1,9,504,13026.35,1.0192,13116.99,15376.42,21219.31
0,2,10,0,10,544,12367.21,1.1513,11389.34,27865.49,11855.11
0,4,25,0,6,490,15615.0,0.9301,15463.99,37387.45,6643.55
0,3,18,0,7,500,3547.57,0.9295,4086.49,9850.91,8145.92
6,6,11,0,11,503,5952.04,1.2402,6664.53,11121.17,5099.67
2,3,13,0,6,472,7980.12,1.0527,8362.75,25727.13,9907.87
6,5,26,0,13,497,8855.23,0.8752,7625.72,13131.15,12273.01
6,2,2,1,9,477,5286.53,1.0219,6225.45,51632.28,2356.62
4,1,3,1,6,477,6705.15,1.0508,6383.54,41162.23,12720.45
3,5,30,0,7,461,6400.65,0.9733,6557.75,41650.02,3614.37
3,6,30,0,8,505,19167.64,1.0404,19772.4,29591.17,7859.01
13,5,26,0,7,516,12399.49,0.9173,11995.69,15241.13,5046.99
3,0,5,1,8,502,12073.48,1.142,10921.03,65868.26,20463.2
13,5,2,1,5,464,6251.54,1.0078,6802.01,25351.6,5867.38
11,6,17,0,8,510,5000.23,0.8882,5365.42,22492.74,4792.72
4,6,13,0,4,537,10100.87,0.9921,9624.91,22559.43,7803.02
13,0,13,0,8,469,22504.83,1.0519,25654.2,26137.44,20626.75
0,2,17,0,5,519,11967.42,0.969,12346.3,11614.43,8170.78
0,3,1,1,6,498,5861.48,1.0784,5604.95,15302.7,11182.82
1,0,4,1,6,511,11206.27,1.0177,12160.8,34424.91,20332.31
7,2,25,0,8,514,10843.44,0.9757,9501.24,13900.17,8473.56
13,0,1,1,8,530,6562.51,0.9994,6736.3,22956.56,8207.13
4,1,26,0,10,511,22849.3,0.8866,24642.02,12636.5,15201.64
9,1,19,0,11,514,29264.6,0.9636,33718.55,30845.33,10347.86
10,3,8,0,5,524,3024.34,1.0766,2632.66,22319.86,500.0
0,5,29,0,11,488,9597.77,0.9345,8139.53,17897.89,5549.86
4,4,27,0,7,502,10015.94,0.9675,8817.12,11444.31,11601.96
1,2,24,0,8,499,9022.66,0.9875,8870.08,9672.62,3720.51
11,2,23,0,6,516,6118.26,0.9317,4961.39,17171.98,4150.59
12,1,30,0,12,478,2400.75,1.0156,2156.38,23274.43,1591.64
1,3,9,0,7,507,11628.66,1.1437,12859.18,32517.32,10380.21
13,2,12,0,4,522,9815.81,1.0693,10051.08,13334.91,7125.24
11,2,7,0,7,561,5637.65,1.0349,5878.46,5000.0,5129.24
3,1,23,0,4,472,11419.98,0.9296,11260.15,76200.99,6923.73
6,6,29,0,6,480,3303.59,0.9732,2862.35,16492.79,500.0
4,0,6,0,6,523,10680.81,1.0625,9230.17,38490.63,8719.13
9,2,2,1,13,481,22332.38,1.0359,18707.46,12107.88,28332.26
4,6,15,0,9,500,6437.29,0.9251,6613.46,62968.57,5263.27
13,2,19,0,8,467,6615.07,0.8256,5857.42,106115.99,1420.84
2,4,30,0,10,550,4144.41,0.9659,4158.56,33133.48,1501.81
0,3,24,0,10,532,19141.67,0.9134,17391.02,11558.76,15553.9
0,3,9,0,9,501,11490.25,1.113,12184.62,31039.63,13454.75
13,5,12,0,3,457,9237.84,1.1112,7989.39,21453.9,6922.51
5,1,25,0,9,541,7948.29,0.9033,9110.19,65024.82,500.0
7,6,19,0,10,524,10678.52,0.8979,9182.59,19701.61,500.0
5,1,5,1,8,517,7330.64,0.9138,7451.63,66884.9,12816.75
5,4,17,0,8,498,13566.88,0.9524,14178.39,8002.19,9568.77
5,3,29,0,5,473,5354.33,0.9349,5549.45,52886.55,2174.54
4,0,22,0,9,480,3979.04,0.8097,3670.26,73485.71,4207.96
5,1,6,0,6,497,17409.74,1.0921,18299.14,26695.09,15138.11
10,2,20,0,10,507,19597.22,0.8798,16063.19,30760.87,7703.79
3,4,19,0,13,493,8374.97,0.9141,9595.24,36229.5,5312.04
4,1,21,0,10,559,9515.13,0.9845,9492.94,38707.56,6345.74
10,4,24,0,3,504,7363.34,0.8898,5963.33,21444.27,7491.28
12,2,14,0,7,514,3880.34,1.0084,3314.64,20522.79,2190.04
13,0,13,0,6,549,4588.18,1.0391,5247.05,15659.81,500.0
0,0,7,0,8,515,9703.38,1.1182,9053.0,32412.93,11785.86
3,3,5,1,11,531,6979.96,1.2192,7613.09,35635.71,11578.83
6,0,27,0,6,482,9217.52,0.9582,9059.82,67690.0,4334.43
11,4,28,0,5,477,5910.83,0.978,6951.04,18343.5,10628.13
10,0,9,0,10,504,8428.71,1.1659,8990.04,25965.17,4612.8
1,5,14,0,8,563,11344.79,1.0189,12165.86,25291.01,14185.43
12,1,8,0,10,492,7508.24,0.9947,6568.8,23794.68,7771.14
3,2,28,0,5,507,9708.99,0.9273,10235.09,72186.8,6287.77
4,0,22,0,7,508,10517.25,0.8224,11213.17,12441.64,8416.28
5,1,3,1,4,538,4858.72,0.9908,4643.87,6251.21,9566.78
4,3,14,0,12,477,9608.11,1.0101,8493.01,9692.89,1960.16
9,3,2,1,5,503,3684.96,1.0763,3395.67,5029.6,7587.77
6,2,27,0,10,498,9272.0,0.9842,8301.83,44484.53,11804.02
6,2,3,1,7,489,19450.69,0.99,22579.15,5000.0,27174.51
8,0,5,1,8,507,2856.82,1.0566,2513.1,12926.9,4042.93
1,4,21,0,4,508,5929.62,0.9322,5112.54,7823.62,6661.35
2,2,16,0,3,482,2193.38,1.025,2140.88,46698.44,6883.0
2,4,5,1,7,467,4252.24,1.0829,4427.81,23779.82,500.0
3,2,20,0,13,473,17546.48,0.8999,18523.93,77529.19,8857.87
0,2,1,1,10,505,9824.41,0.974,9158.66,21629.62,13872.53
5,0,28,0,9,523,5437.8,0.9997,5063.84,22316.99,3666.78
1,3,30,0,5,524,14731.69,0.9598,15126.72,30990.35,12079.68
0,3,17,0,8,466,7524.04,0.9989,6854.63,23804.79,6940.65
10,1,14,0,10,520,5555.95,1.1081,6604.79,5000.0,11390.75
0,5,5,1,12,478,7074.66,1.0282,6308.28,32540.84,10827.07
3,5,9,0,5,476,11796.25,1.1095,12030.95,18923.9,8502.48
0,4,5,1,10,554,8224.56,1.008,9393.85,19031.89,15580.47
2,6,27,0,10,513,10490.15,0.9756,11820.73,13740.95,7598.91
5,6,25,0,9,472,9248.78,0.8679,8838.4,12521.63,2192.77
3,3,24,0,12,502,13503.24,0.8938,11711.3,24378.38,9932.11
0,3,25,0,10,512,13200.21,0.9229,13785.1,21642.77,11560.72
2,6,7,0,9,480,7810.63,1.1368,7631.96,8153.92,4025.3
0,2,15,0,6,489,4944.43,1.0402,5595.75,32710.08,898.67
0,0,30,0,8,477,11960.38,1.0009,12007.23,24449.65,8757.03
0,6,8,0,5,488,7704.12,1.1361,7435.37,34937.34,7048.13
0,2,6,0,7,546,7747.03,1.0935,8150.66,29769.9,7122.09
0,6,6,0,12,511,8659.94,1.1061,9778.84,34379.43,5853.23
0,0,23,0,10,481,10750.23,0.9135,10305.12,5000.0,7706.17
13,4,24,0,13,476,14222.11,0.9158,15445.43,9400.51,14741.28
0,6,28,0,8,504,5572.09,0.9737,4497.11,33987.4,10595.95
7,5,7,0,6,472,12467.2,1.1061,10638.88,19138.71,9008.46
5,1,8,0,12,497,8053.18,1.0562,6449.31,5000.0,10400.24
1,0,11,0,5,535,20637.23,1.0294,20095.05,29452.26,3133.93
2,3,25,0,9,491,5113.9,0.9022,4951.61,49875.31,3185.36
9,6,22,0,4,463,11490.62,0.8397,11681.65,28502.57,12297.51
0,4,30,0,11,549,13183.08,0.9867,12284.81,56210.77,3518.09
