beneficiary_id,age_bracket,region_encoded,grant_type_encoded,dependant_count,has_proxy,redemption_channel_pref_encoded,avg_redemption_amount,redemption_frequency,days_since_last_payment,digital_literacy_score,household_size_estimate,enrollment_duration_days
BEN_00000,5,5,2,1,0,4,284.42,0,43,0.3768,2,784
BEN_00001,3,4,0,2,0,1,1210.25,1,59,0.4604,3,1103
BEN_00002,5,8,4,2,0,1,1210.64,2,31,0.1981,3,428
BEN_00003,5,10,0,2,1,4,1205.02,0,43,0.4078,3,1364
BEN_00004,3,4,1,1,1,1,1160.21,1,79,0.5447,2,101
BEN_00005,4,9,0,1,1,1,1203.87,1,87,0.3746,2,601
BEN_00006,4,9,1,0,0,0,1136.63,1,45,0.5336,3,66
BEN_00007,3,5,0,1,0,2,1291.64,1,22,0.4727,2,850
BEN_00008,5,3,2,1,0,3,247.35,0,50,0.1172,3,852
BEN_00009,4,6,1,0,0,1,1209.39,2,7,0.3417,4,333
BEN_00010,5,5,2,1,1,2,278.38,2,53,0.2584,3,604
BEN_00011,5,10,2,1,0,4,282.03,2,10,0.1795,2,1112
BEN_00012,1,7,2,3,0,1,277.66,1,56,1.0,5,143
BEN_00013,3,4,1,2,0,1,1179.71,0,83,0.4135,4,311
BEN_00014,3,13,0,1,0,1,1393.01,0,6,0.5041,6,403
BEN_00015,4,3,2,1,0,3,275.18,3,12,0.4413,2,1087
BEN_00016,5,10,2,1,0,0,253.98,1,43,0.1955,4,841
BEN_00017,4,10,3,1,0,4,283.77,1,6,0.2663,4,791
BEN_00018,4,5,2,2,0,1,290.1,0,86,0.2563,3,133
BEN_00019,3,0,0,1,1,2,1261.07,1,46,0.734,2,269
BEN_00020,4,0,3,5,0,2,245.85,1,53,0.3928,7,1309
BEN_00021,4,0,2,1,0,1,254.87,1,6,0.6963,2,794
BEN_00022,4,7,2,1,0,1,242.52,1,66,0.275,3,1088
BEN_00023,4,0,2,4,0,0,283.32,0,11,0.7082,5,637
BEN_00024,2,7,2,0,1,2,245.95,1,18,0.7068,1,1171
BEN_00025,5,3,0,0,0,3,1178.06,1,82,0.3306,1,303
BEN_00026,3,2,0,1,0,4,1283.85,1,55,0.5811,2,1359
BEN_00027,2,0,0,0,1,1,1312.06,2,75,0.848,3,1093
BEN_00028,2,0,4,2,0,0,1167.44,1,45,0.937,6,426
BEN_00029,4,0,3,3,0,3,262.63,2,43,0.3767,4,640
BEN_00030,4,9,0,0,0,1,1179.46,0,22,0.2255,2,34
BEN_00031,4,0,0,2,0,0,1181.33,1,26,0.5407,5,533
BEN_00032,3,7,0,1,0,0,1397.05,0,60,0.501,2,1298
BEN_00033,3,7,0,2,0,4,1188.44,1,39,0.3573,3,33
BEN_00034,4,4,4,0,0,0,1224.2,1,82,0.354,1,1053
BEN_00035,3,13,1,1,1,4,1366.25,0,5,0.6171,2,1308
BEN_00036,2,3,0,0,0,1,1146.22,0,48,0.8081,2,194
BEN_00037,5,0,2,2,0,0,299.62,1,57,0.3927,4,1221
BEN_00038,3,4,0,0,0,3,1170.19,0,37,0.5431,1,178
BEN_00039,4,1,1,0,0,0,1326.41,0,27,0.6786,2,228
BEN_00040,3,0,2,0,1,1,252.22,2,47,0.784,2,172
BEN_00041,5,13,1,1,0,0,1338.94,0,43,0.3194,4,476
BEN_00042,4,2,4,2,0,4,1239.61,0,66,0.4293,3,140
BEN_00043,3,7,4,0,0,0,1311.05,3,74,0.4279,1,894
BEN_00044,4,1,0,2,0,0,1248.89,1,59,0.644,3,1482
BEN_00045,5,0,0,3,1,3,1249.53,0,32,0.4491,5,706
BEN_00046,3,13,0,3,0,0,1164.03,1,79,0.5239,7,884
BEN_00047,1,7,2,1,0,4,285.56,0,6,0.7695,3,1059
BEN_00048,3,7,1,2,0,1,1167.13,2,28,0.6195,3,891
BEN_00049,4,10,4,2,0,4,1314.37,1,27,0.2577,4,1280
BEN_00050,3,2,1,3,1,0,1366.93,0,65,0.8085,7,738
BEN_00051,5,3,0,2,1,3,1231.29,1,67,0.3864,4,1299
BEN_00052,3,3,2,0,0,4,296.05,1,61,0.4533,1,1307
BEN_00053,3,11,3,1,0,3,255.0,1,0,0.4957,3,947
BEN_00054,4,2,2,0,0,1,257.76,1,39,0.4969,1,849
BEN_00055,2,2,2,1,1,1,298.15,2,46,0.9277,2,85
BEN_00056,2,8,2,0,0,0,280.0,0,6,0.8483,3,277
BEN_00057,4,5,0,0,1,1,1190.34,1,65,0.3131,2,269
BEN_00058,3,4,4,1,0,1,1355.03,1,56,0.5774,4,306
BEN_00059,5,0,2,2,1,4,281.23,0,45,0.2755,3,961
BEN_00060,5,3,2,0,0,1,296.89,2,86,0.1735,1,923
BEN_00061,3,11,1,2,0,0,1287.16,0,79,0.4811,4,776
BEN_00062,5,0,2,0,0,0,257.36,0,5,0.5522,2,1332
BEN_00063,3,10,4,1,0,3,1267.04,1,5,0.4524,2,63
BEN_00064,3,6,4,1,1,4,1298.55,1,48,0.5803,2,663
BEN_00065,5,0,1,3,0,4,1246.41,1,68,0.408,5,1225
BEN_00066,5,9,0,1,0,1,1345.77,1,67,0.1224,2,1086
BEN_00067,4,4,2,0,1,3,269.87,0,44,0.4686,3,978
BEN_00068,3,3,2,4,1,3,272.39,3,65,0.6898,7,704
BEN_00069,2,5,0,2,0,0,1143.03,2,27,0.5139,3,354
BEN_00070,2,2,0,2,0,0,1298.54,0,43,0.8545,4,1270
BEN_00071,5,0,2,0,0,4,255.73,0,73,0.4236,2,1134
BEN_00072,5,1,0,2,0,1,1175.27,0,45,0.3368,5,1217
BEN_00073,4,1,1,3,1,4,1343.24,1,40,0.4275,4,1165
BEN_00074,5,3,0,1,0,0,1241.95,0,16,0.2452,3,1191
BEN_00075,2,4,4,1,0,2,1209.1,1,77,0.61,4,990
BEN_00076,4,1,2,1,0,2,283.79,1,51,0.5061,3,1175
BEN_00077,5,9,2,0,1,2,280.38,2,71,0.1491,4,1093
BEN_00078,3,2,2,3,1,1,296.81,0,55,0.5567,5,835
BEN_00079,5,5,0,3,0,4,1265.39,0,11,0.2729,4,1398
BEN_00080,4,7,3,1,0,4,242.41,0,4,0.2961,2,791
BEN_00081,2,9,2,2,1,3,272.02,1,60,0.8157,4,49
BEN_00082,2,0,2,2,0,0,275.42,2,8,0.8166,4,765
BEN_00083,5,2,2,3,0,2,267.98,0,75,0.4093,4,723
BEN_00084,5,10,0,6,0,1,1259.79,0,32,0.0916,7,830
BEN_00085,4,7,4,2,0,1,1350.95,0,63,0.3198,4,713
BEN_00086,3,4,0,2,0,0,1260.8,3,23,0.3649,4,665
BEN_00087,3,12,0,3,0,4,1322.68,0,26,0.6401,5,1048
BEN_00088,4,1,4,4,0,0,1319.18,1,17,0.3928,9,673
BEN_00089,4,3,0,1,0,0,1204.06,2,8,0.504,3,44
BEN_00090,3,4,1,0,0,2,1359.98,0,4,0.3479,1,487
BEN_00091,5,0,2,3,1,0,250.97,0,40,0.4056,5,650
BEN_00092,3,1,0,3,0,1,1358.69,2,48,0.675,4,543
BEN_00093,5,6,4,0,1,3,1272.34,1,24,0.3413,2,1440
BEN_00094,4,0,2,0,0,2,266.56,3,43,0.6136,1,313
BEN_00095,1,3,2,3,0,0,275.43,2,83,0.9484,8,1277
BEN_00096,5,2,0,2,1,3,1204.3,0,12,0.3399,3,209
BEN_00097,5,9,4,1,0,1,1203.15,0,60,0.0833,3,1091
BEN_00098,4,3,2,0,1,2,242.19,1,48,0.2369,3,998
BEN_00099,2,12,2,1,1,0,241.85,1,39,0.5357,2,123
BEN_00100,4,10,2,1,0,1,247.03,0,3,0.3639,2,1093
BEN_00101,5,1,4,0,0,0,1366.33,1,85,0.3957,1,928
BEN_00102,3,12,2,2,0,1,292.32,0,83,0.4111,5,1008
BEN_00103,4,5,2,5,1,1,256.58,1,39,0.3247,7,471
BEN_00104,4,0,3,2,0,1,299.29,1,69,0.5603,5,573
BEN_00105,2,0,0,1,0,1,1278.7,2,78,0.9575,4,970
