user_id,tx_count_30d,tx_count_trend,days_since_last_tx,voucher_redemption_count_30d,days_since_last_redemption,avg_tx_amount_30d,notification_read_rate,wallet_balance_trend,login_frequency_30d,session_count_30d,unique_merchants_30d,has_savings_goal,has_active_autopay,account_age_days,region_encoded,is_churned
USR_00000,14,0.9333,25,1,5,324.59,0.316,-0.1492,12,15,4,0,1,134,7,0
USR_00001,6,0.4615,29,0,53,1828.1,0.5534,0.41,5,6,2,0,0,935,2,0
USR_00002,19,0.9048,10,2,9,712.63,0.7728,-0.3796,16,18,6,1,0,795,10,0
USR_00003,7,0.6364,14,0,123,392.84,0.5871,0.1298,6,7,2,0,0,543,1,0
USR_00004,9,0.4737,15,1,40,131.09,0.4933,-0.0196,8,12,3,0,1,536,4,0
USR_00005,12,0.5455,22,1,11,1690.8,0.6113,-0.2055,10,10,4,0,1,1034,1,0
USR_00006,6,0.8571,24,0,169,505.67,0.6666,-0.0316,5,9,2,1,0,130,4,0
USR_00007,16,0.6957,16,2,40,539.45,0.6656,0.1199,14,15,5,1,1,845,0,0
USR_00008,17,0.85,16,2,22,979.51,0.5238,-0.4573,14,18,5,0,0,265,0,0
USR_00009,20,0.7692,3,2,44,327.81,0.8181,0.0504,17,21,6,0,0,140,5,0
USR_00010,12,0.5,5,1,13,197.45,0.8216,0.0057,10,13,4,1,0,645,1,0
USR_00011,15,0.7143,19,2,7,776.2,0.7757,0.2432,12,12,5,1,0,1171,0,0
USR_00012,19,0.7037,13,2,38,315.82,0.3649,0.1291,16,18,6,1,0,890,12,0
USR_00013,5,1.0,4,0,108,625.5,0.7013,0.493,4,4,1,0,0,920,0,0
USR_00014,25,0.7812,3,3,33,332.85,0.8017,0.3326,20,22,8,1,0,869,5,0
USR_00015,11,0.5,19,1,7,224.22,0.5844,-0.0673,9,9,3,0,0,949,4,0
USR_00016,22,0.7097,26,2,38,178.91,0.3717,0.4203,18,19,7,0,0,630,1,0
