voucher_id,days_since_issue,days_until_expiry,grant_type_encoded,amount_normalized,region_encoded,beneficiary_activity_score,similar_voucher_redemption_rate,channel_availability_score,has_used_app,has_used_ussd,nearest_agent_distance_km,notification_sent_count,expired_unredeemed
VCH_00000,12,68,0,1.0,3,0.8496,0.8608,0.6011,1,0,4.03,2,0
VCH_00001,57,29,0,1.0,5,0.4248,0.6636,0.2936,1,1,0.5,1,0
VCH_00002,30,57,2,0.2143,4,0.563,0.5478,0.4269,1,1,0.5,2,0
VCH_00003,38,55,0,1.0,7,0.6761,0.6877,0.9065,1,0,0.54,1,0
VCH_00004,9,82,0,1.0,6,0.6176,0.6899,0.9844,1,1,12.08,0,0
VCH_00005,19,65,4,1.0,10,0.8879,0.7448,0.8692,1,1,0.95,2,0
VCH_00006,32,55,0,1.0,5,0.5326,0.7767,0.9303,0,0,4.32,2,0
VCH_00007,5,82,3,0.2143,4,0.5095,0.6112,0.3963,1,0,3.53,2,0
VCH_00008,45,51,3,0.2143,9,0.4804,0.6884,0.8647,0,0,9.3,1,0
VCH_00009,77,16,0,1.0,1,0.6782,0.8037,0.1747,1,0,6.95,2,0
VCH_00010,73,7,4,1.0,0,0.5949,0.7081,0.7829,1,1,6.8,0,0
VCH_00011,46,46,2,0.2143,0,0.4929,0.7153,0.8523,1,0,1.99,0,0
VCH_00012,33,63,1,1.0,4,0.2634,0.4127,0.6469,0,1,0.5,0,0
VCH_00013,7,92,3,0.2143,3,0.7134,0.9222,0.6912,0,1,0.5,2,0
VCH_00014,14,66,2,0.2143,0,0.6812,0.7458,0.8442,0,1,4.83,2,0
VCH_00015,53,42,1,1.0,2,0.9637,0.8539,0.945,1,1,0.5,1,0
VCH_00016,54,43,0,1.0,6,0.737,0.9117,0.7224,0,1,19.26,2,0
VCH_00017,0,99,0,1.0,7,0.7051,0.7653,0.3274,0,1,0.56,2,1
VCH_00018,9,87,2,0.2143,8,0.95,0.8393,0.6768,1,0,8.0,2,0
VCH_00019,63,24,0,1.0,2,0.928,0.9,0.758,1,1,3.71,2,0
VCH_00020,48,38,2,0.2143,0,0.8163,0.7895,0.9654,0,1,1.65,3,0
VCH_00021,28,58,0,1.0,8,0.7102,0.7961,0.6043,0,0,4.82,1,0
VCH_00022,8,76,0,1.0,6,0.3923,0.9078,0.7814,0,0,9.97,2,0
VCH_00023,69,17,3,0.2143,3,0.6391,0.9401,0.809,1,0,0.99,1,0
VCH_00024,11,83,1,1.0,3,0.2098,0.5697,0.9543,0,1,5.49,0,0
VCH_00025,58,40,1,1.0,7,0.3264,0.5536,0.7064,1,1,2.2,4,0
VCH_00026,70,15,0,1.0,11,0.6534,0.8556,0.7863,1,0,0.76,1,0
VCH_00027,48,46,0,1.0,0,0.6668,0.7105,0.694,1,0,1.91,1,0
VCH_00028,43,52,2,0.2143,1,0.6094,0.9051,0.5064,1,1,1.49,3,0
VCH_00029,18,80,0,1.0,2,0.6666,0.6029,0.8606,0,1,3.88,4,0
