user_id,tx_success_rate,avg_response_time_ms,support_ticket_count_30d,complaint_count_90d,notification_read_rate,feature_adoption_score,session_frequency,tx_volume_30d,failed_tx_count_30d,days_since_last_complaint,onboarding_complete,account_age_days,nps_score
USR_00000,0.9287,327.2,1,0,0.1964,0.4695,5,3201.46,0,181,1,32,43
USR_00001,0.7398,748.1,0,0,0.5256,0.3274,8,3640.45,0,243,1,460,27
USR_00002,0.694,1587.7,1,1,0.7485,0.3638,3,3650.61,0,223,1,569,27
USR_00003,0.9258,435.6,1,0,0.6483,0.8686,9,922.28,0,42,1,125,52
USR_00004,0.8812,698.9,0,0,0.8132,0.3087,11,1439.62,0,181,1,384,38
USR_00005,0.9958,288.6,0,0,0.6773,0.1158,7,814.59,0,201,1,511,41
USR_00006,0.9011,1280.9,2,0,0.9524,0.4958,4,2252.85,1,292,1,920,28
USR_00007,0.9684,1130.7,0,0,0.8327,0.5265,9,608.88,0,80,1,306,40
USR_00008,0.9794,1133.6,1,0,0.5702,0.8143,13,2158.84,0,344,1,880,59
USR_00009,0.9115,476.2,0,1,0.8209,0.4374,9,2933.95,0,32,0,418,25
USR_00010,0.9727,476.2,1,1,0.7644,0.4265,7,2582.42,1,117,1,942,26
USR_00011,0.8048,842.1,0,0,0.3809,0.1259,9,3472.55,0,121,1,387,36
USR_00012,0.9103,985.1,0,0,0.3447,0.2458,6,478.24,0,8,1,773,49
USR_00013,0.7441,1285.2,0,0,0.6458,0.6581,9,4536.95,0,249,1,670,35
USR_00014,0.7263,758.8,0,1,0.7341,0.5404,11,1915.46,1,107,1,466,36
USR_00015,0.8201,445.0,0,0,0.8468,0.4345,9,3116.12,0,143,1,535,36
USR_00016,0.7625,704.3,0,0,0.3797,0.1688,12,2029.34,0,28,1,411,43
USR_00017,0.6718,823.8,1,0,0.7719,0.7016,10,3876.92,2,176,1,632,46
USR_00018,0.9703,487.4,0,0,0.4165,0.4417,9,2906.38,0,114,0,404,31
USR_00019,0.5866,1079.1,0,2,0.5134,0.5945,3,1131.18,1,259,0,418,16
USR_00020,0.6258,806.8,1,0,0.563,0.5284,8,3397.02,1,48,1,523,40
USR_00021,0.9924,508.5,0,0,0.2508,0.3323,6,2437.94,0,58,1,92,51
USR_00022,0.8804,1282.3,1,2,0.5517,0.7591,9,21567.77,0,240,1,190,18
USR_00023,0.8748,903.7,0,0,0.5351,0.6845,6,35647.01,1,256,1,119,40
USR_00024,0.9374,455.9,0,0,0.2196,0.6639,9,872.92,0,281,0,727,52
USR_00025,0.9218,527.9,0,2,0.6107,0.6569,6,4125.56,0,58,1,642,24
USR_00026,0.884,855.6,0,1,0.7447,0.1795,12,5540.39,0,176,1,640,36
USR_00027,0.9854,1160.7,0,0,0.4257,0.3088,9,699.84,0,334,1,791,33
USR_00028,0.9632,632.2,0,0,0.6332,0.4989,11,2978.35,1,333,1,519,41
USR_00029,0.7521,794.2,1,1,0.3009,0.3365,6,539.84,0,3,1,75,14
USR_00030,0.8415,632.4,1,0,0.4706,0.5332,8,611.87,0,240,0,769,38
USR_00031,0.7694,889.5,0,0,0.7723,0.8804,7,5314.9,0,178,1,376,46
USR_00032,0.9089,637.2,1,0,0.4737,0.4713,8,1979.36,0,1,1,887,39
USR_00033,0.9735,688.7,0,1,0.4938,0.4453,8,47211.7,0,113,1,737,33
USR_00034,0.8994,929.9,0,0,0.4676,0.4518,6,2570.75,0,334,1,104,35
USR_00035,0.9569,856.6,1,0,0.1426,0.5023,10,453.03,0,330,1,854,32
USR_00036,0.9431,593.2,2,0,0.7431,0.7856,6,6290.9,1,110,1,632,51
USR_00037,0.8981,417.5,0,0,0.4801,0.7702,7,741.13,0,357,1,404,50
USR_00038,0.6801,1073.0,2,0,0.3365,0.6521,4,3153.77,0,139,1,374,13
USR_00039,0.907,335.6,1,0,0.7058,0.4092,8,2955.41,1,173,0,188,41
USR_00040,0.9863,485.1,0,0,0.8942,0.2168,12,6475.45,1,24,1,883,37
USR_00041,0.8494,252.2,0,1,0.4796,0.5862,6,3257.17,2,288,1,446,24
USR_00042,0.8935,279.6,0,2,0.4457,0.4014,5,4610.19,0,137,1,848,20
USR_00043,0.8579,971.3,2,0,0.3009,0.514,4,1830.73,0,143,1,733,28
USR_00044,0.9734,872.9,0,0,0.8014,0.1558,6,4902.83,0,184,1,840,41
USR_00045,0.8695,1037.7,1,0,0.6909,0.1952,5,2496.61,0,259,1,288,34
USR_00046,0.984,676.2,0,0,0.5795,0.6418,8,4157.37,0,308,1,717,50
USR_00047,0.7857,636.9,1,0,0.5348,0.5303,11,3538.95,1,143,1,625,37
USR_00048,0.6052,348.8,0,0,0.5464,0.6762,6,4766.6,0,138,1,396,43
USR_00049,0.9087,614.9,0,0,0.6646,0.758,9,1714.14,0,154,0,561,51
USR_00050,0.9093,526.5,1,0,0.4752,0.6347,14,19808.52,0,144,1,765,54
USR_00051,0.9321,778.4,1,0,0.4768,0.2524,11,6269.33,0,356,1,198,39
