location,day_of_week,is_payday,is_holiday,base_demand,demand_forecast
Windhoek_CBD,4,0,0,150,136
Katima_Mulilo,0,0,0,60,65
Oshakati,5,0,0,80,145
Rundu,4,1,0,70,169
Katima_Mulilo,6,0,0,60,91
Windhoek_CBD,1,0,0,150,145
Windhoek_CBD,0,0,0,150,173
Walvis_Bay,6,0,0,100,126
Rundu,5,0,0,70,109
Windhoek_CBD,2,1,0,150,246
Rundu,1,1,0,70,170
Windhoek_CBD,1,0,0,150,174
Katima_Mulilo,0,0,0,60,73
Rundu,5,0,0,70,109
Walvis_Bay,4,0,1,100,151
Windhoek_CBD,1,0,0,150,143
Walvis_Bay,3,0,0,100,103
Walvis_Bay,0,1,0,100,188
Walvis_Bay,0,1,0,100,208
Walvis_Bay,0,1,0,100,196
Oshakati,3,0,0,80,80
Rundu,0,0,0,70,62
Walvis_Bay,4,0,0,100,63
Katima_Mulilo,6,0,0,60,64
Rundu,3,0,0,70,53
Walvis_Bay,1,0,0,100,127
Walvis_Bay,6,0,0,100,118
Rundu,2,0,0,70,71
Oshakati,2,0,0,80,97
Windhoek_CBD,2,0,1,150,202
Rundu,3,0,0,70,110
Walvis_Bay,3,0,0,100,96
Rundu,3,0,1,70,97
Rundu,5,0,0,70,98
Walvis_Bay,2,0,0,100,113
Walvis_Bay,3,1,0,100,211
Walvis_Bay,6,0,0,100,141
Rundu,2,0,0,70,45
Rundu,2,0,0,70,89
Katima_Mulilo,1,0,0,60,53
Walvis_Bay,6,0,0,100,128
Windhoek_CBD,5,0,0,150,177
Katima_Mulilo,6,0,0,60,97
Katima_Mulilo,0,0,0,60,43
Katima_Mulilo,2,0,0,60,73
Rundu,4,0,0,70,95
Windhoek_CBD,1,0,0,150,171
Walvis_Bay,6,0,0,100,135
Oshakati,3,0,0,80,117
Katima_Mulilo,3,0,0,60,41
Oshakati,0,0,0,80,88
Katima_Mulilo,0,0,0,60,71
Rundu,2,0,0,70,84
Oshakati,5,0,0,80,117
Rundu,6,0,0,70,102
Oshakati,3,0,0,80,66
Rundu,0,1,0,70,197
Walvis_Bay,0,0,0,100,120
Oshakati,1,0,0,80,93
Walvis_Bay,4,0,0,100,109
Katima_Mulilo,2,0,0,60,65
Rundu,4,0,0,70,64
Walvis_Bay,4,0,0,100,99
Katima_Mulilo,2,0,0,60,34
Windhoek_CBD,2,0,0,150,125
Rundu,1,0,0,70,52
Walvis_Bay,2,0,0,100,88
Rundu,1,0,0,70,101
Rundu,6,0,0,70,106
Oshakati,0,1,0,80,173
Oshakati,4,0,0,80,76
Katima_Mulilo,0,0,0,60,61
Windhoek_CBD,2,0,1,150,197
Katima_Mulilo,6,0,0,60,85
Windhoek_CBD,4,0,0,150,115
Rundu,6,0,0,70,113
Windhoek_CBD,2,0,0,150,172
Katima_Mulilo,2,0,0,60,48
Katima_Mulilo,0,0,1,60,122
Oshakati,6,0,0,80,118
Walvis_Bay,2,1,0,100,204
Katima_Mulilo,6,0,0,60,86
Rundu,6,0,1,70,132
Windhoek_CBD,5,1,0,150,275
Walvis_Bay,1,0,0,100,131
Katima_Mulilo,4,0,0,60,45
Walvis_Bay,0,0,0,100,90
Oshakati,5,1,0,80,212
Oshakati,6,0,0,80,122
Walvis_Bay,5,0,0,100,131
Walvis_Bay,1,1,0,100,192
Windhoek_CBD,6,0,0,150,179
Windhoek_CBD,4,0,1,150,201
Katima_Mulilo,3,0,0,60,51
Rundu,6,0,0,70,102
Walvis_Bay,4,0,0,100,102
Windhoek_CBD,5,1,0,150,286
Windhoek_CBD,5,1,0,150,278
Windhoek_CBD,3,0,0,150,115
Rundu,5,0,1,70,166
Katima_Mulilo,6,0,0,60,84
Oshakati,1,0,0,80,83
Walvis_Bay,3,0,0,100,102
Walvis_Bay,1,0,0,100,97
Oshakati,2,0,0,80,88
Rundu,1,0,0,70,59
Rundu,0,0,0,70,60
Katima_Mulilo,5,0,0,60,84
Windhoek_CBD,4,0,0,150,157
