amount,merchant_category,hour_of_day,day_of_week,device_type,location_type,account_age_days,category
335.91623306311885,5311,18,5,2,3,454,shopping
353.09188320145324,5311,11,2,1,2,1508,shopping
462.0450148339771,5411,9,6,1,3,1353,groceries
2118.489810078318,8299,13,6,1,1,261,education
128.04103552774177,7832,18,5,1,3,789,entertainment
95.74386227554923,4121,10,6,1,0,394,transport
577.836772718094,8011,8,1,1,2,329,healthcare
1932.3830044705205,8011,11,2,1,0,1763,healthcare
453.7498465045416,4900,13,1,1,1,168,utilities
217.6895592357718,4900,12,2,0,3,1168,utilities
2925.612008816744,8299,11,0,1,2,1194,education
178.50470323072855,4121,14,3,2,2,1211,transport
848.10406118119,4900,15,1,1,1,35,utilities
640.6742887320165,5311,19,0,1,2,1635,shopping
84.58212825343219,7832,18,4,1,1,188,entertainment
235.593319663695,5812,12,4,1,2,1137,dining
127.21605008507602,8011,11,3,1,2,1314,healthcare
484.00851946822644,4900,12,2,1,0,1627,utilities
164.38389508798957,5411,15,3,1,3,1631,groceries
981.1012678142823,8011,16,0,1,2,1325,healthcare
518.9572589793623,8299,8,3,1,2,1003,education
222.38107441555292,5411,16,6,1,1,543,groceries
136.67575083204216,7832,21,0,1,3,784,entertainment
236.1541558301934,7832,20,4,1,0,504,entertainment
73.6883582531356,5311,14,5,1,1,652,shopping
263.3251311183704,4900,6,3,2,2,963,utilities
705.084556070717,8299,10,2,0,3,1283,education
221.5188544634018,8011,8,1,1,1,1131,healthcare
140.6678406904546,4121,17,1,2,3,1507,transport
37.09834415180033,5812,14,2,1,1,930,dining
278.243903582506,5411,17,5,1,3,1277,groceries
148.43990061897824,5411,10,6,1,3,83,groceries
79.6856637973953,4121,8,3,1,1,251,transport
171.0573422524232,5411,14,5,2,1,648,groceries
117.89299519025826,7832,21,1,1,3,825,entertainment
1400.1137789000231,8299,11,3,1,1,1393,education
190.0870155714531,5411,12,2,0,2,1434,groceries
665.334581130187,5311,17,3,2,0,1050,shopping
622.8880228279489,5311,17,6,1,1,610,shopping
125.38717088026984,4121,8,4,1,1,1075,transport
221.3876465970859,5411,15,4,1,2,1203,groceries
1147.0370750974816,8299,9,5,1,1,1588,education
668.1470082579274,8011,14,3,1,1,1264,healthcare
272.31796004163533,5812,17,2,1,2,971,dining
288.1017884708147,4900,14,1,0,1,1445,utilities
126.17585445562193,4121,17,3,1,1,219,transport
404.5331432645482,5411,11,6,1,3,940,groceries
203.5210864828744,7832,21,4,1,1,1140,entertainment
193.2468950531845,4121,7,1,1,0,584,transport
104.46220744411018,7832,22,1,1,2,1789,entertainment
2823.2033165209923,8299,13,4,1,1,1565,education
2984.9284469578874,8299,8,1,1,3,525,education
446.4789541278332,5311,19,0,2,1,1462,shopping
985.0292629918841,5311,19,5,1,0,130,shopping
187.53397688362887,7832,22,1,1,3,102,entertainment
504.7579918185086,4900,19,2,1,0,1473,utilities
245.4848218317764,4900,18,0,0,1,545,utilities
186.50449904425076,8011,11,2,1,1,813,healthcare
153.01577220011177,4121,9,0,1,3,97,transport
4179.774974996975,8299,11,1,0,3,1054,education
258.0102051969931,7832,20,0,2,1,973,entertainment
235.41310146838194,5411,10,1,1,3,495,groceries
