voucher_id,days_since_issue,grant_type_encoded,amount_normalized,region_encoded,beneficiary_segment,day_of_week_issued,day_of_month_issued,is_payday_week,historical_avg_days_to_redeem,preferred_channel_encoded,nearby_agent_count,days_to_redeem,redemption_channel
VCH_00000,46,1,1.0,12,2,1,3,1,2.4,0,6,4,wallet
VCH_00001,51,1,1.0,0,2,3,1,1,5.07,3,3,3,merchant_payment
VCH_00002,22,2,0.2143,2,1,6,3,1,2.25,2,2,3,bank_transfer
VCH_00003,11,0,1.0,5,4,0,3,1,4.69,0,5,6,wallet
VCH_00004,26,0,1.0,12,1,4,1,1,5.68,2,4,9,bank_transfer
VCH_00005,45,3,0.2143,0,1,2,1,1,5.45,1,2,7,cash_out
VCH_00006,31,3,0.2143,5,5,0,1,1,3.44,2,0,5,bank_transfer
VCH_00007,47,1,1.0,9,0,2,2,1,4.33,1,8,7,cash_out
VCH_00008,44,0,1.0,4,3,0,29,0,3.35,0,1,8,wallet
VCH_00009,49,4,1.0,8,2,1,30,0,3.48,1,4,8,cash_out
VCH_00010,13,2,0.2143,11,0,3,1,1,6.53,3,6,6,merchant_payment
VCH_00011,27,1,1.0,4,0,1,15,0,5.06,1,7,9,cash_out
VCH_00012,34,3,0.2143,9,4,5,1,1,3.3,3,2,5,merchant_payment
VCH_00013,53,4,1.0,0,3,6,1,1,2.78,0,3,6,wallet
VCH_00014,11,0,1.0,8,0,4,2,1,4.52,1,1,5,cash_out
VCH_00015,5,0,1.0,9,2,6,1,1,3.41,0,3,7,wallet
VCH_00016,23,0,1.0,0,4,3,15,0,6.32,2,3,6,bank_transfer
VCH_00017,5,2,0.2143,0,3,5,30,0,2.28,1,1,4,cash_out
VCH_00018,38,1,1.0,3,1,4,1,1,2.97,0,2,4,wallet
VCH_00019,29,1,1.0,2,0,5,2,1,4.29,0,4,6,wallet
VCH_00020,51,4,1.0,1,2,6,15,0,3.94,0,3,4,wallet
VCH_00021,34,4,1.0,10,4,6,1,1,2.78,0,4,10,wallet
VCH_00022,41,0,1.0,0,0,1,1,1,2.92,2,1,4,bank_transfer
VCH_00023,6,3,0.2143,1,3,0,15,0,4.05,4,4,6,cash_at_till
VCH_00024,40,3,0.2143,6,3,4,28,0,3.23,0,4,12,wallet
VCH_00025,27,2,0.2143,4,1,1,1,1,3.44,1,3,6,cash_out
VCH_00026,47,2,0.2143,4,3,1,28,0,12.55,0,1,16,wallet
VCH_00027,34,4,1.0,6,2,4,15,0,3.55,0,4,7,wallet
VCH_00028,26,0,1.0,0,0,6,30,0,2.97,1,4,4,cash_out
